seed,method,cost,gap_pct,runtime_s,n_open,same_hubs_as_exact,capacity_violated,open_hubs
0,roulette,8046415.611230769,0.0,0.2352258439641446,8,True,False,Gapyeong;Chuncheon;Hongcheon;Gangneung;Yangyang;Busan;Jeju City;Seogwipo
1,roulette,8046415.611230769,0.0,0.14961454999865964,8,True,False,Gapyeong;Chuncheon;Hongcheon;Gangneung;Yangyang;Busan;Jeju City;Seogwipo
2,roulette,8170581.047076923,1.543114871,0.1371078840456903,9,False,False,Gapyeong;Chuncheon;Hongcheon;Hoengseong;Gangneung;Yangyang;Busan;Jeju City;Seogwipo
3,roulette,8170581.047076923,1.543114871,0.1318145589902997,9,False,False,Gapyeong;Chuncheon;Hongcheon;Hoengseong;Gangneung;Yangyang;Busan;Jeju City;Seogwipo
4,roulette,8046415.611230769,0.0,0.1299336029915139,8,True,False,Gapyeong;Chuncheon;Hongcheon;Gangneung;Yangyang;Busan;Jeju City;Seogwipo
5,roulette,8046415.611230769,0.0,0.12578383000800386,8,True,False,Gapyeong;Chuncheon;Hongcheon;Gangneung;Yangyang;Busan;Jeju City;Seogwipo
6,roulette,8181527.683384615,1.679158506,0.12764974200399593,7,False,False,Gapyeong;Hongcheon;Gangneung;Yangyang;Busan;Jeju City;Seogwipo
7,roulette,8046415.611230769,0.0,0.128371333994437,8,True,False,Gapyeong;Chuncheon;Hongcheon;Gangneung;Yangyang;Busan;Jeju City;Seogwipo
8,roulette,8046415.611230769,0.0,0.13625000999309123,8,True,False,Gapyeong;Chuncheon;Hongcheon;Gangneung;Yangyang;Busan;Jeju City;Seogwipo
9,roulette,8046415.611230769,0.0,0.1296796479728073,8,True,False,Gapyeong;Chuncheon;Hongcheon;Gangneung;Yangyang;Busan;Jeju City;Seogwipo
10,roulette,8046415.611230769,0.0,0.1336594930035062,8,True,False,Gapyeong;Chuncheon;Hongcheon;Gangneung;Yangyang;Busan;Jeju City;Seogwipo
11,roulette,8046415.611230769,0.0,0.1292293969891034,8,True,False,Gapyeong;Chuncheon;Hongcheon;Gangneung;Yangyang;Busan;Jeju City;Seogwipo
12,roulette,8046415.611230769,0.0,0.13602875504875556,8,True,False,Gapyeong;Chuncheon;Hongcheon;Gangneung;Yangyang;Busan;Jeju City;Seogwipo
13,roulette,8223348.930923077,2.198908536,0.12512986600631848,9,False,False,Goyang;Gapyeong;Chuncheon;Hongcheon;Gangneung;Yangyang;Busan;Jeju City;Seogwipo
14,roulette,8249336.702769231,2.521881809,0.12574219197267666,10,False,False,Namyangju;Gapyeong;Chuncheon;Hongcheon;Hoengseong;Gangneung;Yangyang;Busan;Jeju City;Seogwipo
